Paragraph,Characters,Character Bucket,Words,Word Bucket,Sentiment,Line
1,91,076-010,17,016-020,0,"On July 16, 1923, I moved into Exham Priory after the last workman had finished his labours"
1,186,176-200,35,031-035,0.02857142857142857,"The restoration had been a stupendous task, for little had remained of the deserted pile but a shell-like ruin; yet because it had been the seat of my ancestors I let no expense deter me"
1,346,more,59,056-060,0.11864406779661017,"The place had not been inhabited since the reign of James the First, when a tragedy of intensely hideous, though largely unexplained, nature had struck down the master, five of his children, and several servants; and driven forth under a cloud of suspicion and terror the third son, my lineal progenitor and the only survivor of the abhorred line"
1,167,151-175,30,026-030,-0.13333333333333333,"With this sole heir denounced as a murderer, the estate had reverted to the crown, nor had the accused man made any attempt to exculpate himself or regain his property"
1,300,more,53,051-055,0.018867924528301886,"Shaken by some horror greater than that of conscience or the law, and expressing only a frantic wish to exclude the ancient edifice from his sight and memory, Walter de la Poer, eleventh Baron Exham, fled to Virginia and there founded the family which by the next century had become known as Delapore"
2,387,more,60,056-060,0.03333333333333333,"Exham Priory had remained untenanted, though later allotted to the estates of the Norrys family and much studied because of its peculiarly composite architecture; an architecture involving Gothic towers resting on a Saxon or Romanesque substructure, whose foundation in turn was of a still earlier order or blend of orders—Roman, and even Druidic or native Cymric, if legends speak truly"
2,211,201-225,36,036-040,0.027777777777777776,"This foundation was a very singular thing, being merged on one side with the solid limestone of the precipice from whose brink the priory overlooked a desolate valley three miles west of the village of Anchester"
2,117,101-125,18,016-020,-0.16666666666666666,"Architects and antiquarians loved to examine this strange relic of forgotten centuries, but the country folk hated it"
2,142,126-150,27,026-030,-0.2222222222222222,"They had hated it hundreds of years before, when my ancestors lived there, and they hated it now, with the moss and mould of abandonment on it"
2,75,076-010,17,016-020,0,"I had not been a day in Anchester before I knew I came of an accursed house"
2,105,101-125,18,016-020,-0.1111111111111111,"And this week workmen have blown up Exham Priory, and are busy obliterating the traces of its foundations"
3,155,151-175,28,026-030,-0.07142857142857142,"The bare statistics of my ancestry I had always known, together with the fact that my first American forbear had come to the colonies under a strange cloud"
3,119,101-125,19,016-020,-0.05263157894736842,"Of details, however, I had been kept wholly ignorant through the policy of reticence always maintained by the Delapores"
3,297,more,49,046-050,-0.061224489795918366,"Unlike our planter neighbours, we seldom boasted of crusading ancestors or other mediaeval and Renaissance heroes; nor was any kind of tradition handed down except what may have been recorded in the sealed envelope left before the Civil War by every squire to his eldest son for posthumous opening"
3,152,151-175,24,021-025,0.375,"The glories we cherished were those achieved since the migration; the glories of a proud and honourable, if somewhat reserved and unsocial Virginia line"
4,138,126-150,25,021-025,0,"During the war our fortunes were extinguished and our whole existence changed by the burning of Carfax, our home on the banks of the James"
4,131,126-150,23,021-025,0.13043478260869565,"My grandfather, advanced in years, had perished in that incendiary outrage, and with him the envelope that bound us all to the past"
4,159,151-175,30,026-030,-0.03333333333333333,"I can recall that fire today as I saw it then at the age of seven, with the Federal soldiers shouting, the women screaming, and the natives howling and praying"
4,131,126-150,24,021-025,0.125,"My father was in the army, defending Richmond, and after many formalities my mother and I were passed through the lines to join him"
4,139,126-150,27,026-030,0.037037037037037035,"When the war ended we all moved north, whence my mother had come; and I grew to manhood, middle age, and ultimate wealth as a stolid Yankee"
